11
BRAINTREE 33
BURY 26
CAMBRIDGE 0
CHELMSFORD 36
COLCHESTER 40
HALSTED 29
HAVERHILL 16
IPSWICH 45
NORWICH 59
STANSTED 24
SUDBURY 28

COLCHESTER CAMBRIDGE

5 BRAINTREE
STANSTED 16
HAVERHILL 22
HALSTED 7
COLCHESTER 17
CHELMSFORD 13

3 BURY
CAMBRIDGE 30
SUDBURY 18
IPSWICH 29

4 CAMBRIDGE
STANSTED 26
HAVERHILL 20
BURY 30
NORWICH 62

2 CHELMSFORD
BRAINTREE 13
COLCHESTER 23

5 COLCHESTER
BRAINTREE 17
HALSTED 13
SUDBURY 15
IPSWICH 18
CHELMSFORD 23

4 HALSTED
HAVERHILL 16
SUDBURY 9
COLCHESTER 13
BRAINTREE 7

5 HAVERHILL
STANSTED 25
CAMBRIDGE 20
SUDBURY 19
HALSTED 16
BRAINTREE 22

4 IPSWICH
COLCHESTER 18
SUDBURY 21
BURY 29
NORWICH 43

2 NORWICH
CAMBRIDGE 62
IPSWICH 43

3 STANSTED
CAMBRIDGE 26
HAVERHILL 25
BRAINTREE 16

5 SUDBURY
HALSTED 9
HAVERHILL 19
BURY 18
IPSWICH 21
COLCHESTER 13

0
